Sigla;Codigo_UF;Estado;Capital;Região
RO;11;RONDONIA;PORTO VELHO;NORTE
AC;12;ACRE;RIO BRANCO;NORTE
AM;13;AMAZONAS;MANAUS;NORTE
RR;14;RORAIMA;BOA VISTA;NORTE
PA;15;PARA;BELÉM;NORTE
AP;16;AMAPA;MACAPÁ;NORTE
TO;17;TOCANTINS;PALMAS;NORTE
MA;21;MARANHAO;SÃO LUIZ;NORDESTE
PI;22;PIAUI;TEREZINA;NORDESTE
CE;23;CEARA;FORTALEZA;NORDESTE
RN;24;RIO GRANDE DO NORTE;NATAL;NORDESTE
PB;25;PARAIBA;JOÃO PESSOA;NORDESTE
PE;26;PERNAMBUCO;RECIFE;NORDESTE
AL;27;ALAGOAS;MACEIÓ;NORDESTE
SE;28;SERGIPE;ARACAJÚ;NORDESTE
BA;29;BAHIA;SALVADOR;NORDESTE
MG;31;MINAS GERAIS;BELO HORIZONTE;SUDESTE
ES;32;ESPIRITO SANTO;VITÓRIA;SUDESTE
RJ;33;RIO DE JANEIRO;RIO DE JANEIRO;SUDESTE
SP;35;SAO PAULO;SÃO PAULO;SUDESTE
PR;41;PARANA;CURITIBA;SUL
SC;42;SANTA CATARINA;FLORIANÓPOLIS;SUL
RS;43;RIO GRANDE DO SUL;PORTO ALEGRE;SUL
MS;50;MATO GROSSO DO SUL;CAMPO GRANDE;CENTRO-OESTE
MT;51;MATO GROSSO;CUIABÁ;CENTRO-OESTE
GO;52;GOIAS;GOIÂNIA;CENTRO-OESTE
DF;53;DISTRITO FEDERAL;CAPITAL;CENTRO-OESTE
